arch,mode,mode_label,cfg,cfg_idx,test_rmse,test_mae,test_r2,val_rmse,epochs_trained
CNN,db4,Db4,cfg008,8,0.2785306126660822,0.21479092440004552,0.9232329779550359,0.2234332241792127,100
CNN,learned_wavelet_no_warmup,LWT,cfg008,8,0.21754388092529597,0.1682362101795336,0.9531701713441997,0.20214471616424834,100
CNN,learned_wavelet,LWT-Warm,cfg088,88,0.2210985197922557,0.17104957036127896,0.9516272815018874,0.20147080691533592,100
CNN,raw,Raw,cfg011,11,0.2360985748054816,0.18456405051155472,0.9448411051950972,0.22720292262029496,100
CNN_LSTM,db4,Db4,cfg011,11,0.24828880277114723,0.19202372488160005,0.9389981377084655,0.19662350112315613,100
CNN_LSTM,learned_wavelet_no_warmup,LWT,cfg046,46,0.2384689037795985,0.18572425047548982,0.9437280020153368,0.20120557516888432,52
CNN_LSTM,learned_wavelet,LWT-Warm,cfg078,78,0.24176242239222215,0.18819735363630638,0.9421629115949134,0.20169815448261166,67
CNN_LSTM,raw,Raw,cfg022,22,0.2602317176901905,0.20411564980452498,0.9329885089288585,0.19415859538319266,95
LSTM,db4,Db4,cfg004,4,0.3664296004445645,0.27145778686246663,0.8671352046601462,0.3032125915131309,54
LSTM,learned_wavelet_no_warmup,LWT,cfg020,20,0.2815779779179435,0.2199056843771553,0.9215439938222543,0.23843524790952295,44
LSTM,learned_wavelet,LWT-Warm,cfg020,20,0.2833761297310158,0.22219346877968932,0.9205387570876854,0.2370328935394714,61
LSTM,raw,Raw,cfg006,6,0.2311968371981385,0.17796016837257822,0.9471076817981428,0.2244494922025541,33
MLP,db4,Db4,cfg002,2,0.236611979063259,0.18041960416070565,0.9446009546429608,0.2027530388339458,75
MLP,learned_wavelet_no_warmup,LWT,cfg004,4,0.25238067725298247,0.193130266531292,0.936970911340359,0.20307455056789442,100
MLP,learned_wavelet,LWT-Warm,cfg003,3,0.24095356715757643,0.1839648578433518,0.9425492708410178,0.2025295197022551,100
MLP,raw,Raw,cfg002,2,0.2272314522495565,0.1742871715632564,0.9489064930213899,0.20333958494338766,100
Transformer,db4,Db4,cfg006,6,0.22129767082650303,0.169837198465016,0.9515401003165121,0.20044525349922468,57
Transformer,learned_wavelet_no_warmup,LWT,cfg054,54,0.19645986172374194,0.1507889558483135,0.9618076402132182,0.1819987566746948,59
Transformer,learned_wavelet,LWT-Warm,cfg096,96,0.20773292614447955,0.15870610941428412,0.9572988568011835,0.1801040610968907,59
Transformer,raw,Raw,cfg020,20,0.19447850289998156,0.1503319571307509,0.9625741191946685,0.17476161438253343,78
