arch,mode_label,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,n
CNN,Db4,0.29149276772235266,0.020407169172519477,0.22582138202851987,0.016363328811094733,0.9155209637405037,0.012017463081095615,36
CNN,LWT,0.28166679435660413,0.05198158778390301,0.2163624227483509,0.03805236009797967,0.9188454557910574,0.036301931036758474,108
CNN,LWT-Warm,0.2771106795797817,0.048687373609462105,0.21261138929449924,0.034860194990507395,0.9216897686323892,0.03226339985693345,108
CNN,Raw,0.29388499243629884,0.046519595497484974,0.22656229959183977,0.0323489283544143,0.912453985418623,0.02890972866957872,36
CNN_LSTM,Db4,0.25818321279150447,0.01863343798832943,0.19824107022416484,0.01419943386849005,0.9337053391677448,0.010079923786002679,36
CNN_LSTM,LWT,0.2647853330448577,0.010212234570001798,0.20671027050026847,0.008309271604892598,0.9305205726362732,0.005288666937705823,108
CNN_LSTM,LWT-Warm,0.2666698487998417,0.012117152863932874,0.20828953532276917,0.009667616710213638,0.9294878228005904,0.006384241792613961,108
CNN_LSTM,Raw,0.25655669723429536,0.010066481690064036,0.20078719737761086,0.007817357518220026,0.9347703439179154,0.005120415712092887,36
LSTM,Db4,0.7761695717859635,0.29247210966509635,0.6043207473949727,0.23771013399606858,0.3239266842444037,0.42681896840374506,18
LSTM,LWT,0.33073467084431657,0.03227627419464607,0.25544859937517894,0.025349720752048076,0.8907481174015331,0.021337585085844,54
LSTM,LWT-Warm,0.3268484374112963,0.02873189352766376,0.2532409967461448,0.02225765919184123,0.893486891395231,0.018770914083559707,54
LSTM,Raw,0.3406324746909738,0.0660574261094035,0.2598562932522961,0.0497306875126867,0.8810721121537296,0.04452722944945148,21
MLP,Db4,0.2474268729398551,0.007535149653313272,0.18839738557028798,0.005861680273355317,0.9393678735025688,0.0037011941135639175,18
MLP,LWT,0.2429622304146113,0.009793177677752323,0.1862343258457525,0.007475715623385378,0.9414942796487288,0.004773039939827579,54
MLP,LWT-Warm,0.2441654041436155,0.00932039046988154,0.1872103343920621,0.007253267952309795,0.9409230935629261,0.004529031712874583,54
MLP,Raw,0.2418206252730644,0.009353521583433173,0.18487632492694606,0.007197422537472482,0.9420532976046433,0.004507451438671391,18
Transformer,Db4,0.24693801728279563,0.020158367336572454,0.1873708811501167,0.016535643034321413,0.9392663509718854,0.010351188594339584,48
Transformer,LWT,0.23858177858173435,0.09668503482206797,0.1823793126614758,0.07652386521552229,0.9344892855131405,0.11823152286706579,143
Transformer,LWT-Warm,0.2737479972099228,0.18572980048626844,0.21039571887623368,0.14734505068202966,0.89194932359745,0.22969177198417115,144
Transformer,Raw,0.21213445213878168,0.01840294144481656,0.1638977578055098,0.012924666422798005,0.9551420087978628,0.008275795963169593,48
